# 수능 보카 H 섹션 원본 목록 — 102단어
#
# 형식 : 표제어 <TAB> 원본 뜻
# 이 파일은 작업 대조용 원본이다. 코드가 읽지 않는다.
#
# ── 원본에서 고친 것 (사용자 승인) ────────────────
#   hard-and-fast  '비슷한 의견을 가진' → '엄격한, 변경할 수 없는'
#                  a hard-and-fast rule = 절대 안 바뀌는 규칙이다.
#                  원본 뜻은 like-minded 의 것이다. 명백한 오류.
#   hereafter      '이후내용에서' → '이후'
#                  '이후내용에서' 는 한국어 표현이 아니다. 사전은 '내세, 이후'.
#                  afterlife·eternity 가 쓰는 뜻은 '내세' 이므로 그쪽을 지킨다.
#   haunt          '유령이 나타나다' 에 '머릿속을 떠나지 않다' 추가
#                  자동사 뜻만 있었다. 타동사(~을 계속 괴롭히다)가 수능 빈출.
#   hamper         hinder 와 뜻을 갈라 씀
#                  원본이 '= hinder' 라고 스스로 적었는데 hinder 도 이 목록에 있다.
#                  hamper 는 '방해하다, 저해하다', hinder 는 '저지하다, 가로막다' 로
#                  갈래를 나눴다.
#
# ── 표제어를 바꾼 것 (사용자 승인) ────────────────
#   hard wired → hard-wired
#     공백이 든 형용사는 기존 전례가 0건이다 (공백 든 표제어 20개는 전부 명사).
#     하이픈 형용사는 11건(high-end, high-pitched …). 같은 목록의 high-end ·
#     high-pitched 와도 일관된다.
#
# ── 뜻이 같은 단어는 그대로 둔다 (사용자 확인) ──────
#   humanity / humankind 둘 다 "인류" 로 둬도 앱이 같은 문제에 안 넣는다.
#   meaningsOverlap 이 뜻이 겹치는 단어를 오답 후보와 짝 맞추기 보드에서 뺀다.
#   실측: 400번 만들어 함께 뜬 횟수 0.

habitat	서식지, 거주지
hail	우박, 우박이 내리다, 환호하다
halfway	중간에; 부분적으로
hallway	통로, 복도; 현관
halt	멈추다, 서다; 중단시키다; 멈춤, 중단
hamper	방해하다, 저해하다
handicapped	신체적 장애가 있는
handicraft	수공예품, 손재주
handwritten	손으로 쓴, 친필의
hang on	꽉 붙잡다; 잠깐 기다리세요
hang out with	~와 어울리다
harbor	항구에 정박시키다; 거처를 제공하다
hard-wired	타고난, 굳어진, 고정된
hard-and-fast	엄격한, 변경할 수 없는
harden	굳다, 굳어지다, 확고해지다
hardness	단단함, 힘듦
hardship	고난, 곤경
harmless	무해한, 악의 없는
harmonious	조화로운
harness	이용하다, 통제하다
harsh	가혹한, 혹독한
harvest	추수, 추수기; 수확량
hatch	부화하다
hate crime	증오에 의한 범죄
hateful	불쾌한, 혐오스러운
hatred	증오, 원한, 혐오
haunt	머릿속을 떠나지 않다; 유령이 나타나다
have ~ in common	~을 공통으로 지니다
have no choice but to	~할 수밖에 없다
have nothing to do with	~와는 전혀 관계가 없다
have relevance to	~와 관련이 있다
have to do with	~와 관계가 있다, 관련되다
hazard	위험
hazardous	유해한, 위험한
head start	유리함
heading	표제, 제목
headquarters	본부, 본사
hear from	~로부터 연락을 받다, 소식을 듣다
heartfelt	진심에서 우러난
heartland	중심지, 핵심 지역
heartwarming	마음이 푸근해지는
heat	뜨겁게 하다, 데우다; 열
hectic	몹시 바쁜
height	높이, 키, 고지
heighten	높게 하다, 높이다
heir	상속인, 계승자
helpless	무력한
hemisphere	반구
hence	그러므로
herbivore	초식동물
hereafter	이후로, 이후
heredity	유전, 상속
heritage	상속 재산, 유산
hesitant	머뭇거리는, 주저하는
hesitate	주저하다, 망설이다
hibernate	동면하다
hideous	흉측한, 무시무시한
hierarchy	계층 구조; 지배층, 권력층
high-end	최고급의, 최고가인
highlight	강조하다, 하이라이트 표시를 하다
high-pitched	음조가 높은
hinder	저지하다, 가로막다
hire	고용하다; 빌리다
historic	역사적인
hold back	망설이다; 저지하다
hold down	~을 억제하다
hold on to	매달리다, 의지하다
holdout	동의하지 않는 사람
hollow	속이 빈, 우묵한
holy	신성한, 경건한
homey	아늑한, 포근한
homicide	살인
homogeneous	동족의, 동질의
hook	낚시 바늘, 고리, 걸이
horizontal	수평의, 지평선상의
horrendous	충격적인; 불쾌한
horrific	무시무시한
hospitable	잘 대접하는, 환대하는
hospitality	환대, 접대
hostage	인질
hostile	적대적인
hostility	적개심, 적대감
house	수용하다, 보관하다
household	가정
humanity	인류; 인간성
humankind	인류, 인간
humble	겸손한, 비천한
humid	습한, 눅눅한
humidity	습도; 습함, 습기
humiliate	모욕감을 주다
humiliation	창피함, 굴욕감
humility	겸손
hunger	배고픔, 굶주림; 갈망
hurl	세게 던지다, 퍼붓다
hybrid	잡종, 혼합물, 혼성물
hydroelectric	수력 전기의
hydrogen	수소
hygiene	위생, 위생학
hypocrisy	위선, 위선적인 행위
hypocritical	위선의, 위선적인
hypothesis	가설, 가정
hypothesize	가설을 세우다, 가정하다
